414,2003 Malahide Millennium Tournament - Under 1800,2003-05-05,29
415,2003 Malahide Millennium Tournament - Open,2003-05-05,19
416,2003 Derry City Championships,2003-05-13,6
417,2003 Galway Open,2003-05-18,51
418,2003 Ulster Team Championships,2003-05-18,10
419,2003 Waterford Open,2003-05-25,38
420,2003 South West Arizona Championships - Open (GUL),2003-05-25,6
421,2003 Drogheda Congress - Veterens,2003-06-02,4
422,2003 Drogheda Congress - D,2003-06-02,8
423,2003 Drogheda Congress - C,2003-06-02,6
424,2003 Drogheda Congress - B,2003-06-02,6
425,2003 Drogheda Congress - A,2003-06-02,6
426,2003 Cork Club Championships,2003-06-06,42
427,2003 Belfast Summerfest - Novices,2003-06-08,11
428,2003 Belfast Summerfest - Challengers,2003-06-08,14
429,2003 Belfast Summerfest - Open,2003-06-08,14
430,2003 U.S. National Open - Under 1800 "USCF" (DQ + GUL),2003-06-15,13
431,2003 U.S. National Open - Open (SC),2003-06-15,7
432,2003 Junior International Triangular Match - Under 12s (JF\, DM\, SOC\, CD\, SMcC\, BQ\, DF + SO),2003-06-22,24
433,2003 Junior International Triangular Match - Under 14s (CL\, EW\, IL\, DG\, JOD\, JV\, TL + SM),2003-06-22,24
434,2003 Rathmines Club Championships - Junior,2003-06-24,8
435,2003 Rathmines Club Championships - Intermediate,2003-06-24,6
436,2003 Rathmines Club Championships - Senior,2003-06-24,12
437,2003 World Junior Championships - Boys (DM),2003-07-03,13
438,2003 Tom White Cup,2003-07-09,35
439,2003 Irish Championships - Junior,2003-07-13,31
440,2003 Irish Championships - Intermediate,2003-07-13,25
441,2003 Irish Championships - Senior,2003-07-13,18
442,2003 Faber Cup (HLOR\, EA + DG),2003-07-17,18
443,2003 Glorney Cup (MD\, SJ\, KMcP\, KD + SB),2003-07-17,30
466,2003 Branagan Cup,2003-07-17,84
444,2003 Ye Olde Pueblo Open (CL + GUL),2003-07-20,11
445,2003 Drogheda Club Championships,2003-07-20,14
446,2003 European Youth Team Championships - Under 18s - Boys (SJ\, KMcP\, KD + SB),2003-07-27,32
447,2003 British Championships - Under 9s (MD),2003-07-27,8
448,2003 Bray/Greystones Club Championships - Minor,2003-07-30,20
449,2003 Bray/Greystones Club Championships - Senior,2003-07-30,8
450,2003 Biel International Festival - Master Tournament (MOC),2003-08-01,12
451,2003 British Championships - Under 10s (OB + SH),2003-08-01,14
